time_mt5,open,high,low,close
2026.07.31 03:00:00,1.15232,1.15265,1.15151,1.15179
2026.07.31 04:00:00,1.1518,1.15212,1.1509800000000001,1.151
2026.07.31 05:00:00,1.15102,1.15164,1.151,1.1512
2026.07.31 06:00:00,1.1512,1.15137,1.15063,1.15133
2026.07.31 07:00:00,1.15133,1.1514199999999999,1.15043,1.15082
2026.07.31 08:00:00,1.15082,1.15096,1.1504699999999999,1.1506
2026.07.31 09:00:00,1.1506,1.15222,1.15054,1.15171
2026.07.31 10:00:00,1.1517,1.15248,1.15115,1.15143
2026.07.31 11:00:00,1.15144,1.15262,1.15044,1.15218
2026.07.31 12:00:00,1.15217,1.1525,1.15032,1.15055
2026.07.31 13:00:00,1.15054,1.1508099999999999,1.1501000000000001,1.15019
2026.07.31 14:00:00,1.15018,1.15022,1.14847,1.1485
2026.07.31 15:00:00,1.14851,1.14908,1.14814,1.14882
2026.07.31 16:00:00,1.14881,1.1503700000000001,1.14552,1.14664
2026.07.31 17:00:00,1.14664,1.15064,1.14625,1.15046
2026.07.31 18:00:00,1.1504699999999999,1.15187,1.14971,1.15181
2026.07.31 19:00:00,1.15182,1.15191,1.15123,1.15171
2026.07.31 20:00:00,1.15172,1.15375,1.15168,1.15334
2026.07.31 21:00:00,1.15333,1.15363,1.15244,1.15306
2026.07.31 22:00:00,1.15306,1.15361,1.15271,1.15313
2026.07.31 23:00:00,1.15313,1.1547,1.15221,1.15221
2026.08.03 00:00:00,1.15469,1.15505,1.15426,1.15467
2026.08.03 01:00:00,1.1546,1.15589,1.1546,1.15483
2026.08.03 02:00:00,1.15481,1.15509,1.1542,1.1543700000000001
2026.08.03 03:00:00,1.15436,1.15561,1.15349,1.15425
2026.08.03 04:00:00,1.15424,1.15458,1.15298,1.15322
2026.08.03 05:00:00,1.15322,1.15354,1.15285,1.1531
2026.08.03 06:00:00,1.1531,1.15311,1.15269,1.15298
2026.08.03 07:00:00,1.15297,1.15359,1.1529,1.15341
2026.08.03 08:00:00,1.1534200000000001,1.1537600000000001,1.15317,1.15371
2026.08.03 09:00:00,1.1537,1.15388,1.15237,1.1527
2026.08.03 10:00:00,1.15268,1.15322,1.15206,1.15261
2026.08.03 11:00:00,1.15262,1.15276,1.1521,1.15226
2026.08.03 12:00:00,1.15224,1.15303,1.15199,1.15221
2026.08.03 13:00:00,1.15222,1.15247,1.1517,1.15221
2026.08.03 14:00:00,1.15221,1.1532499999999999,1.15206,1.1532499999999999
2026.08.03 15:00:00,1.15324,1.1535199999999999,1.15227,1.15279
2026.08.03 16:00:00,1.1528,1.1535,1.15218,1.15278
2026.08.03 17:00:00,1.15278,1.15278,1.15101,1.1514
2026.08.03 18:00:00,1.15139,1.15141,1.15002,1.15094
2026.08.03 19:00:00,1.15096,1.15104,1.15043,1.15068
2026.08.03 20:00:00,1.15067,1.15068,1.15012,1.15019
2026.08.03 21:00:00,1.1502,1.15146,1.15015,1.15136
2026.08.03 22:00:00,1.15135,1.15147,1.15094,1.15103
2026.08.03 23:00:00,1.15102,1.15109,1.15061,1.1508
2026.08.04 00:00:00,1.1513200000000001,1.15134,1.15056,1.1508
2026.08.04 01:00:00,1.1507100000000001,1.1510799999999999,1.15066,1.15089
2026.08.04 02:00:00,1.15089,1.15105,1.15062,1.15069
2026.08.04 03:00:00,1.1507,1.15151,1.15048,1.15056
2026.08.04 04:00:00,1.15055,1.15146,1.15022,1.15124
2026.08.04 05:00:00,1.15123,1.15137,1.15075,1.15079
2026.08.04 06:00:00,1.15078,1.1514,1.15074,1.1508099999999999
2026.08.04 07:00:00,1.15082,1.15109,1.15058,1.15104
2026.08.04 08:00:00,1.15103,1.15104,1.15036,1.15073
2026.08.04 09:00:00,1.1507100000000001,1.15105,1.1503700000000001,1.15073
2026.08.04 10:00:00,1.15074,1.1517,1.15062,1.15109
2026.08.04 11:00:00,1.1510799999999999,1.15143,1.15062,1.15078
2026.08.04 12:00:00,1.15079,1.15112,1.15033,1.1508
2026.08.04 13:00:00,1.1508099999999999,1.15188,1.15075,1.15139
2026.08.04 14:00:00,1.15138,1.15235,1.15115,1.15162
2026.08.04 15:00:00,1.15163,1.15232,1.15133,1.15148
2026.08.04 16:00:00,1.15148,1.15261,1.15092,1.15237
2026.08.04 17:00:00,1.15247,1.15309,1.15189,1.15231
2026.08.04 18:00:00,1.15232,1.15265,1.1513200000000001,1.15262
2026.08.04 19:00:00,1.15263,1.15266,1.15165,1.15185
2026.08.04 20:00:00,1.15186,1.1526399999999999,1.15185,1.1524
2026.08.04 21:00:00,1.15239,1.15337,1.15226,1.15328
2026.08.04 22:00:00,1.15329,1.15335,1.15295,1.15308
2026.08.04 23:00:00,1.15306,1.1534,1.15304,1.15309
2026.08.05 00:00:00,1.1528,1.15314,1.15273,1.15288
2026.08.05 01:00:00,1.15297,1.1533,1.15296,1.15328
2026.08.05 02:00:00,1.15328,1.15333,1.15297,1.15318
2026.08.05 03:00:00,1.15319,1.15354,1.15295,1.15314
2026.08.05 04:00:00,1.1531500000000001,1.15317,1.15268,1.15271
2026.08.05 05:00:00,1.15271,1.15406,1.15267,1.15348
2026.08.05 06:00:00,1.15348,1.15404,1.15346,1.15372
2026.08.05 07:00:00,1.15373,1.1540300000000001,1.15346,1.15362
2026.08.05 08:00:00,1.15361,1.15379,1.15316,1.15356
2026.08.05 09:00:00,1.15361,1.15459,1.15323,1.1544699999999999
2026.08.05 10:00:00,1.15446,1.15467,1.15339,1.1538
2026.08.05 11:00:00,1.15379,1.15445,1.15312,1.15356
2026.08.05 12:00:00,1.15356,1.15426,1.15336,1.15397
2026.08.05 13:00:00,1.15396,1.15409,1.1535,1.15396
2026.08.05 14:00:00,1.15399,1.15553,1.15399,1.15527
2026.08.05 15:00:00,1.15528,1.15571,1.15448,1.15457
2026.08.05 16:00:00,1.15456,1.1554,1.15401,1.15442
2026.08.05 17:00:00,1.15443,1.1556899999999999,1.15405,1.15534
2026.08.05 18:00:00,1.1553499999999999,1.15566,1.15429,1.1546
2026.08.05 19:00:00,1.15461,1.15493,1.15426,1.15458
2026.08.05 20:00:00,1.15459,1.15573,1.15426,1.15563
2026.08.05 21:00:00,1.15562,1.15595,1.1553200000000001,1.15536
2026.08.05 22:00:00,1.1553499999999999,1.15548,1.15475,1.1551
2026.08.05 23:00:00,1.1550799999999999,1.15542,1.1549,1.15531
2026.08.06 00:00:00,1.1553200000000001,1.15567,1.15485,1.15497
2026.08.06 01:00:00,1.1550799999999999,1.1555,1.1549800000000001,1.15546
2026.08.06 02:00:00,1.15547,1.15578,1.1554,1.1557
2026.08.06 03:00:00,1.1557,1.15595,1.15546,1.15564
2026.08.06 04:00:00,1.15564,1.15574,1.15536,1.15549
2026.08.06 05:00:00,1.1555,1.1558,1.15524,1.15537
2026.08.06 06:00:00,1.15537,1.15539,1.15467,1.15487
2026.08.06 07:00:00,1.15488,1.15497,1.1547,1.15491
