time_utc,tv_signal,mt5_signal,tv_close,mt5_close,close_abs_diff,tv_sma3_prev,tv_sma5_prev,tv_sma3,tv_sma5,mt5_sma3_prev,mt5_sma5_prev,mt5_sma3,mt5_sma5,reason
2026-08-04T23:00:00+00:00,,BULL,1.15321,1.15318,2.999999999997449e-05,1.153167,1.153174,1.153157,1.153158,1.153083,1.153122,1.153113,1.153102,"observed Pine='' vs observed MQL5 script='BULL' at 2026-08-04T23:00:00+00:00; TV close=1.15321 MQL5 close=1.15318 abs_close_diff=0.00003; TV prev SMA3=1.153167 SMA5=1.153174 (fast-below-slow); MQL5 prev SMA3=1.153083 SMA5=1.153122 (fast-below-slow, formula cross-check); TV cur SMA3=1.153157 SMA5=1.153158 (fast-below-slow); MQL5 cur SMA3=1.153113 SMA5=1.153102 (fast-above-slow, formula cross-check). Timing-shifted single crossing event straddling the strict threshold: same-direction BULL counterpart observed on Pine feed at 2026-08-05T00:00:00+00:00 (+1 bar(s)). Feed OHLC differences (this-bar close diff 0.00003, max 5-bar-window close diff 0.00015) move one feed's fast/slow pair across the strict >/< boundary one bar earlier/later. The observed MQL5 script marker equals the local SMA recomputation on both bars (formula cross-check passes 507/507), so this is a feed-threshold effect, not a script-vs-recompute difference."
2026-08-05T00:00:00+00:00,BULL,,1.15314,1.15314,0.0,1.153157,1.153158,1.153213,1.153170,1.153113,1.153102,1.153200,1.153114,"observed Pine='BULL' vs observed MQL5 script='' at 2026-08-05T00:00:00+00:00; TV close=1.15314 MQL5 close=1.15314 abs_close_diff=0.00000; TV prev SMA3=1.153157 SMA5=1.153158 (fast-below-slow); MQL5 prev SMA3=1.153113 SMA5=1.153102 (fast-above-slow, formula cross-check); TV cur SMA3=1.153213 SMA5=1.153170 (fast-above-slow); MQL5 cur SMA3=1.153200 SMA5=1.153114 (fast-above-slow, formula cross-check). Timing-shifted single crossing event straddling the strict threshold: same-direction BULL counterpart observed on the MQL5 script feed at 2026-08-04T23:00:00+00:00 (-1 bar(s)). Feed OHLC differences (this-bar close diff 0.00000, max 5-bar-window close diff 0.00015) move one feed's fast/slow pair across the strict >/< boundary one bar earlier/later. The observed MQL5 script marker equals the local SMA recomputation on both bars (formula cross-check passes 507/507), so this is a feed-threshold effect, not a script-vs-recompute difference."
2026-08-11T23:00:00+00:00,BEAR,,1.15436,1.15436,0.0,1.154233,1.154204,1.154253,1.154268,1.154163,1.154162,1.154233,1.154224,"observed Pine='BEAR' vs observed MQL5 script='' at 2026-08-11T23:00:00+00:00; TV close=1.15436 MQL5 close=1.15436 abs_close_diff=0.00000; TV prev SMA3=1.154233 SMA5=1.154204 (fast-above-slow); MQL5 prev SMA3=1.154163 SMA5=1.154162 (fast-above-slow, formula cross-check); TV cur SMA3=1.154253 SMA5=1.154268 (fast-below-slow); MQL5 cur SMA3=1.154233 SMA5=1.154224 (fast-above-slow, formula cross-check). No mirror-pair crossing within +-3 bars (nearest observed-MQL5-BEAR at 2026-08-12T01:00:00+00:00 (+2 bar(s)), that bar Pine='BEAR' MQL5='BEAR' (AGREE), not its mirror pair): the Pine feed crosses the strict threshold here while the observed MQL5 script feed keeps fast-above-slow (feed OHLC differences: this-bar close diff 0.00000, max 5-bar-window close diff 0.00015). The observed MQL5 script marker equals the local SMA recomputation here (formula cross-check passes 507/507), and TV-observed matches TV-recomputed, so this is a feed-threshold effect, not a Pine live-vs-completed marker issue."
2026-08-12T00:00:00+00:00,BULL,,1.15408,1.15407,1.0000000000065512e-05,1.154253,1.154268,1.154260,1.154228,1.154233,1.154224,1.154257,1.154184,"observed Pine='BULL' vs observed MQL5 script='' at 2026-08-12T00:00:00+00:00; TV close=1.15408 MQL5 close=1.15407 abs_close_diff=0.00001; TV prev SMA3=1.154253 SMA5=1.154268 (fast-below-slow); MQL5 prev SMA3=1.154233 SMA5=1.154224 (fast-above-slow, formula cross-check); TV cur SMA3=1.154260 SMA5=1.154228 (fast-above-slow); MQL5 cur SMA3=1.154257 SMA5=1.154184 (fast-above-slow, formula cross-check). No mirror-pair crossing within +-3 bars (no BULL marker within +-3 bars on the observed MQL5 feed): the Pine feed crosses the strict threshold here while the observed MQL5 script feed keeps fast-above-slow (feed OHLC differences: this-bar close diff 0.00001, max 5-bar-window close diff 0.00015). The observed MQL5 script marker equals the local SMA recomputation here (formula cross-check passes 507/507), and TV-observed matches TV-recomputed, so this is a feed-threshold effect, not a Pine live-vs-completed marker issue."
2026-08-13T20:00:00+00:00,BULL,,1.15293,1.15276,0.00017000000000000348,1.152857,1.152918,1.152903,1.152892,1.152853,1.152914,1.152843,1.152854,"observed Pine='BULL' vs observed MQL5 script='' at 2026-08-13T20:00:00+00:00; TV close=1.15293 MQL5 close=1.15276 abs_close_diff=0.00017; TV prev SMA3=1.152857 SMA5=1.152918 (fast-below-slow); MQL5 prev SMA3=1.152853 SMA5=1.152914 (fast-below-slow, formula cross-check); TV cur SMA3=1.152903 SMA5=1.152892 (fast-above-slow); MQL5 cur SMA3=1.152843 SMA5=1.152854 (fast-below-slow, formula cross-check). Timing-shifted single crossing event straddling the strict threshold: same-direction BULL counterpart observed on the MQL5 script feed at 2026-08-13T23:00:00+00:00 (+3 bar(s)). Feed OHLC differences (this-bar close diff 0.00017, max 5-bar-window close diff 0.00017) move one feed's fast/slow pair across the strict >/< boundary one bar earlier/later. The observed MQL5 script marker equals the local SMA recomputation on both bars (formula cross-check passes 507/507), so this is a feed-threshold effect, not a script-vs-recompute difference."
2026-08-13T23:00:00+00:00,,BULL,1.15338,1.15337,1.0000000000065512e-05,1.152973,1.152940,1.153123,1.153036,1.152880,1.152882,1.153083,1.152978,"observed Pine='' vs observed MQL5 script='BULL' at 2026-08-13T23:00:00+00:00; TV close=1.15338 MQL5 close=1.15337 abs_close_diff=0.00001; TV prev SMA3=1.152973 SMA5=1.152940 (fast-above-slow); MQL5 prev SMA3=1.152880 SMA5=1.152882 (fast-below-slow, formula cross-check); TV cur SMA3=1.153123 SMA5=1.153036 (fast-above-slow); MQL5 cur SMA3=1.153083 SMA5=1.152978 (fast-above-slow, formula cross-check). Timing-shifted single crossing event straddling the strict threshold: same-direction BULL counterpart observed on Pine feed at 2026-08-13T20:00:00+00:00 (-3 bar(s)). Feed OHLC differences (this-bar close diff 0.00001, max 5-bar-window close diff 0.00017) move one feed's fast/slow pair across the strict >/< boundary one bar earlier/later. The observed MQL5 script marker equals the local SMA recomputation on both bars (formula cross-check passes 507/507), so this is a feed-threshold effect, not a script-vs-recompute difference."
2026-08-18T22:00:00+00:00,BULL,,1.15764,1.15763,1.0000000000065512e-05,1.157520,1.157556,1.157573,1.157552,1.157450,1.157514,1.157503,1.157508,"observed Pine='BULL' vs observed MQL5 script='' at 2026-08-18T22:00:00+00:00; TV close=1.15764 MQL5 close=1.15763 abs_close_diff=0.00001; TV prev SMA3=1.157520 SMA5=1.157556 (fast-below-slow); MQL5 prev SMA3=1.157450 SMA5=1.157514 (fast-below-slow, formula cross-check); TV cur SMA3=1.157573 SMA5=1.157552 (fast-above-slow); MQL5 cur SMA3=1.157503 SMA5=1.157508 (fast-below-slow, formula cross-check). Timing-shifted single crossing event straddling the strict threshold: same-direction BULL counterpart observed on the MQL5 script feed at 2026-08-18T23:00:00+00:00 (+1 bar(s)). Feed OHLC differences (this-bar close diff 0.00001, max 5-bar-window close diff 0.00020) move one feed's fast/slow pair across the strict >/< boundary one bar earlier/later. The observed MQL5 script marker equals the local SMA recomputation on both bars (formula cross-check passes 507/507), so this is a feed-threshold effect, not a script-vs-recompute difference."
2026-08-18T23:00:00+00:00,,BULL,1.1576,1.15762,2.0000000000131024e-05,1.157573,1.157552,1.157600,1.157560,1.157503,1.157508,1.157537,1.157520,"observed Pine='' vs observed MQL5 script='BULL' at 2026-08-18T23:00:00+00:00; TV close=1.15760 MQL5 close=1.15762 abs_close_diff=0.00002; TV prev SMA3=1.157573 SMA5=1.157552 (fast-above-slow); MQL5 prev SMA3=1.157503 SMA5=1.157508 (fast-below-slow, formula cross-check); TV cur SMA3=1.157600 SMA5=1.157560 (fast-above-slow); MQL5 cur SMA3=1.157537 SMA5=1.157520 (fast-above-slow, formula cross-check). Timing-shifted single crossing event straddling the strict threshold: same-direction BULL counterpart observed on Pine feed at 2026-08-18T22:00:00+00:00 (-1 bar(s)). Feed OHLC differences (this-bar close diff 0.00002, max 5-bar-window close diff 0.00020) move one feed's fast/slow pair across the strict >/< boundary one bar earlier/later. The observed MQL5 script marker equals the local SMA recomputation on both bars (formula cross-check passes 507/507), so this is a feed-threshold effect, not a script-vs-recompute difference."
2026-08-19T01:00:00+00:00,BEAR,,1.15772,1.15772,0.0,1.157550,1.157546,1.157577,1.157586,1.157553,1.157508,1.157583,1.157548,"observed Pine='BEAR' vs observed MQL5 script='' at 2026-08-19T01:00:00+00:00; TV close=1.15772 MQL5 close=1.15772 abs_close_diff=0.00000; TV prev SMA3=1.157550 SMA5=1.157546 (fast-above-slow); MQL5 prev SMA3=1.157553 SMA5=1.157508 (fast-above-slow, formula cross-check); TV cur SMA3=1.157577 SMA5=1.157586 (fast-below-slow); MQL5 cur SMA3=1.157583 SMA5=1.157548 (fast-above-slow, formula cross-check). No mirror-pair crossing within +-3 bars (no BEAR marker within +-3 bars on the observed MQL5 feed): the Pine feed crosses the strict threshold here while the observed MQL5 script feed keeps fast-above-slow (feed OHLC differences: this-bar close diff 0.00000, max 5-bar-window close diff 0.00020). The observed MQL5 script marker equals the local SMA recomputation here (formula cross-check passes 507/507), and TV-observed matches TV-recomputed, so this is a feed-threshold effect, not a Pine live-vs-completed marker issue."
2026-08-19T02:00:00+00:00,BULL,,1.15824,1.15823,9.999999999843467e-06,1.157577,1.157586,1.157790,1.157722,1.157583,1.157548,1.157787,1.157722,"observed Pine='BULL' vs observed MQL5 script='' at 2026-08-19T02:00:00+00:00; TV close=1.15824 MQL5 close=1.15823 abs_close_diff=0.00001; TV prev SMA3=1.157577 SMA5=1.157586 (fast-below-slow); MQL5 prev SMA3=1.157583 SMA5=1.157548 (fast-above-slow, formula cross-check); TV cur SMA3=1.157790 SMA5=1.157722 (fast-above-slow); MQL5 cur SMA3=1.157787 SMA5=1.157722 (fast-above-slow, formula cross-check). No mirror-pair crossing within +-3 bars (nearest observed-MQL5-BULL at 2026-08-18T23:00:00+00:00 (-3 bar(s)), that bar Pine='' MQL5='BULL' (MISMATCH), not its mirror pair): the Pine feed crosses the strict threshold here while the observed MQL5 script feed keeps fast-above-slow (feed OHLC differences: this-bar close diff 0.00001, max 5-bar-window close diff 0.00002). The observed MQL5 script marker equals the local SMA recomputation here (formula cross-check passes 507/507), and TV-observed matches TV-recomputed, so this is a feed-threshold effect, not a Pine live-vs-completed marker issue."
